rp_quartile,n,mean,ci_low,ci_high,successes
"(-0.001, 0.0244]",230,0.5434782608695652,0.4789176285704549,0.606610404400532,125.0
"(0.0244, 0.166]",240,0.4625,0.4005074271924588,0.5256741168031581,111.0
"(0.166, 0.316]",210,0.49523809523809526,0.42831160464632895,0.562335672027569,104.0
"(0.316, 1.623]",227,0.4801762114537445,0.41605575279240653,0.5449564499289827,109.0
