season,rp_dec,n,mean,ci_low,ci_high,successes
0,"(-0.001, 0.0142]",34,0.7941176470588235,0.6320161194883639,0.8965047310096809,27.0
0,"(0.0142, 0.0489]",61,0.4918032786885246,0.3706039532371102,0.6139738150890883,30.0
0,"(0.0489, 0.166]",26,0.6153846153846154,0.4253485008511553,0.7757140556428721,16.0
0,"(0.166, 1.623]",30,0.4,0.24590628116801855,0.5767963974667754,12.0
1,"(-0.001, 0.0142]",148,0.5067567567567568,0.4270643727216723,0.5861072604774118,75.0
1,"(0.0142, 0.0489]",36,0.25,0.1375047766299483,0.41070453766728354,9.0
1,"(0.0489, 0.166]",165,0.47878787878787876,0.40391823496673646,0.5546227534321269,79.0
1,"(0.166, 1.623]",407,0.49385749385749383,0.445570269258203,0.5422595860481424,201.0
