n,mean,ci_low,ci_high,successes
227,0.4933920704845815,0.4290073539042992,0.5579967136694971,112.0
227,0.4845814977973568,0.4203680236980665,0.5493081339741251,110.0
226,0.4823008849557522,0.4179961516641338,0.5471972471201951,109.0
227,0.5198237885462555,0.4550435500710173,0.5839442472075935,118.0
