decile,risk
0,0.5454545454545454
1,0.47058823529411764
2,0.4891304347826087
3,0.5670103092783505
4,0.4090909090909091
5,0.45977011494252873
6,0.4157303370786517
7,0.5434782608695652
8,0.4888888888888889
